band_banding,original_band,other_bands_banding,event_type_banding,event_date_banding,event_day_banding,event_month_banding,event_year_banding,iso_country_banding,iso_subdivision_banding,lat_dd_banding,lon_dd_banding,coordinates_precision_code_banding,band_type_code_banding,species_name_banding,species_id_banding,bird_status_banding,extra_info_code_banding,age_code_banding,sex_code_banding,permit_banding,band_status_code_banding,how_obtained_code_banding,who_obtained_code_banding,reporting_method_banding,present_condition_banding,min_age_at_enc_banding,record_source_banding,record_id_banding,species_scientific_name_banding,band_recap_enc,other_bands_recap_enc,event_type_recap_enc,event_date_recap_enc,event_day_recap_enc,event_month_recap_enc,event_year_recap_enc,iso_country_recap_enc,iso_subdivision_recap_enc,lat_dd_recap_enc,lon_dd_recap_enc,coordinates_precision_code_recap_enc,band_type_code_recap_enc,species_name_recap_enc,species_id_recap_enc,bird_status_recap_enc,extra_info_code_recap_enc,age_code_recap_enc,sex_code_recap_enc,permit_recap_enc,band_status_code_recap_enc,how_obtained_code_recap_enc,who_obtained_code_recap_enc,reporting_method_recap_enc,present_condition_recap_enc,min_age_at_enc_recap_enc,record_source_recap_enc,record_id_recap_enc,species_scientific_name_recap_enc,distance_km
B00833032008,B00833032008,,B,01/13/2013,13,1,2013,US,US-PA,39.86528,-76.55333,0,11,Rufous Hummingbird,4330,3,00,5.0,5.0,P7716491,0,,,,,,B,-59481563,Selasphorus rufus,B00833032008,,E,01/25/2013,25,1,2013,US,US-VA,36.79438,-76.67418,0,11,Hummingbird,4330,,,,,,,0.0,21.0,7.0,5.0,0.58,E,-8671532,Selasphorus rufus,341.04209865857223
B00833746568,B00833746568,,B,11/09/2012,9,11,2012,US,US-AL,31.30917,-85.86667,0,11,Rufous Hummingbird,4330,3,00,2.0,5.0,P2723703,0,,,,,,B,-59445086,Selasphorus rufus,B00833746568,,E,01/10/2015,10,1,2015,US,US-LA,30.00723,-90.0536,0,11,Rufous Hummingbird,4330,,,,,P4744824,,66.0,23.0,7.0,7.0,2.58,E,-10017487,Selasphorus rufus,426.41906088125745
B00833784560,B00833784560,,B,02/08/2013,8,2,2013,US,US-AL,32.38583,-86.27111,0,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P2723703,0,,,,,,B,-37018647,Selasphorus rufus,B00833784560,,E,09/14/2014,14,9,2014,US,US-OK,33.88218,-96.50249,11,11,Rufous Hummingbird,4330,,,,,,,52.0,21.0,7.0,7.0,2.25,E,-8669162,Selasphorus rufus,968.588731204821
B00833785843,B00833785843,,B,01/20/2013,20,1,2013,US,US-FL,27.94167,-81.95833,1,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P2723703,0,,,,,,B,-59437867,Archilochus colubris,B00833785843,,E,03/13/2014,13,3,2014,US,US-AL,30.41167,-87.69083,0,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P2723703,,52.0,23.0,14.0,7.0,1.75,R,-31807078,Archilochus colubris,621.0731011172163
B00933043004,B00933043004,,B,12/16/2006,16,12,2006,US,US-FL,30.41667,-87.41667,10,11,Rufous Hummingbird,4330,3,00,2.0,5.0,P2723703,0,,,,,,B,-36882040,Selasphorus rufus,B00933043004,,E,01/31/2009,31,1,2009,US,US-MS,30.40944,-88.98444,0,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,7.0,7.0,2.58,E,-12306437,Selasphorus rufus,150.6388529219504
B00933043123,B00933043123,,B,12/14/2006,14,12,2006,US,US-AL,33.08333,-85.91667,10,11,Rufous Hummingbird,4330,3,00,2.0,4.0,P2723703,0,,,,,,B,-36882044,Selasphorus rufus,B00933043123,,E,02/22/2007,22,2,2007,US,US-LA,29.91667,-90.08333,10,11,Rufous Hummingbird,4330,,,,,,,66.0,23.0,7.0,7.0,0.67,E,-12480122,Selasphorus rufus,529.0257634528103
B00933043363,B00933043363,,B,12/07/2006,7,12,2006,US,US-AL,30.41667,-87.91667,10,11,Rufous Hummingbird,4330,3,00,2.0,4.0,P2723703,0,,,,,,B,-36882047,Selasphorus rufus,B00933043363,,E,03/06/2007,6,3,2007,US,US-LA,30.41667,-91.08333,10,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,7.0,7.0,0.75,E,-12480106,Selasphorus rufus,304.24484919548905
B00933047729,B00933047729,,B,06/30/2009,30,6,2009,US,US-AK,60.06389,-148.01583,0,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P4724191,0,,,,,,B,-54998623,Selasphorus rufus,B00933047729,,E,04/15/2015,15,4,2015,US,US-CA,37.90604,-122.54498,11,11,HUMMING BIRD,4330,,,,,,,3.0,21.0,61.0,4.0,6.83,E,-8941355,Selasphorus rufus,3049.2454841366316
B00933509733,B00933509733,,B,05/16/2009,16,5,2009,CA,CA-BC,53.14306,-119.85,0,11,Rufous Hummingbird,4330,3,00,1.0,4.0,P8833768,0,,,,,,B,-36980956,Selasphorus rufus,B00933509733,,E,08/19/2009,19,8,2009,US,US-TX,30.58806,-103.89722,0,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,7.0,7.0,1.17,E,-8799087,Selasphorus rufus,2819.0930451818163
B00933711609,B00933711609,,B,09/14/2016,14,9,2016,US,US-TX,29.05833,-95.44167,1,11,Ruby-throated Hummingbird,4280,3,08,2.0,4.0,P5725452,0,,,,,,B,-17333079,Archilochus colubris,B00933711609,,E,11/14/2022,14,11,2022,US,US-IA,41.38583,-95.68279,11,11,Unknown,4280,,,,,,,98.0,21.0,7.0,2.0,,E,944421,Archilochus colubris,1367.8627110516209
